score,suitability,format,unknown_class_count,missing_model_count,name,path,features,reason,unknown_classes,missing_models
63,优先测试,ui,1,5,11.视频续帧GGUFQ4A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\11.视频续帧GGUFQ4A.json,prompt;video_input;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、连续、镜头、续帧、视频生视频、动作,LoaderGGUF,wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_LOW_fp16.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_HIGH_fp16.safetensors;wan2.2_i2v_high_noise_14B_Q4_K_S.gguf;wan2.2_i2v_low_noise_14B_Q4_K_S.gguf
63,优先测试,ui,1,5,12.视频续帧GGUFQ8A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\12.视频续帧GGUFQ8A.json,prompt;video_input;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、连续、镜头、续帧、视频生视频、动作,LoaderGGUF,wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_LOW_fp16.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_HIGH_fp16.safetensors;wan2.2_i2v_low_noise_14B_Q8_0.gguf;wan2.2_i2v_high_noise_14B_Q8_0.gguf
62,优先测试,ui,1,2,wanvideo_phantom_subject2vid_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_phantom_subject2vid_example_01.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、修复,MarkdownNote,umt5_xxl_fp16.safetensors;Phantom-Wan-1_3B_fp16.safetensors
62,优先测试,ui,2,0,Wan2.1角色消散效果.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\花瓣消散工作流\工作流\Wan2.1角色消散效果.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、修复,LayerUtility: PurgeVRAM;easy cleanGpuUsed,
61,优先测试,ui,0,5,Wan2.1_VACE视频转绘工作流.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\视频转绘（vace）\Wan2.1_VACE视频转绘工作流.json,image_input;pose_control;prompt;video_input;video_nodes;video_output,video、wan、wan2、vace、animate、infinite、audio、lip、pose、depth、视频转绘、修复,,yolox_l.onnx;dw-ll_ucoco_384_bs5.torchscript.pt;depth_anything_v2_vitl.pth;Wan2.1_14B_VACE-Q5_K_S.gguf;Wan21_CausVid_14B_T2V_lora_rank32.safetensors
60,优先测试,ui,0,3,03.FlashVSR视频高清化工作流-好用.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\8.高清放大类\03.FlashVSR视频高清化工作流-好用.json,prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、pose、高清,,Wan2_1_FlashVSR_PQ_proj_model_bf16.safetensors;Wan2_1_FlashVSR_TCDecoder_fp32.safetensors;Wan2_1-T2V-1_3B_FlashVSR_fp32.safetensors
60,优先测试,ui,0,7,03.Wan2.2-Animate-动作迁移.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\03.Wan2.2-Animate-动作迁移.json,image_input;pose_control;prompt;video_input;video_nodes;video_output,video、wan、wan2、animate、audio、lip、pose、视频生视频、动作、姿势、动作迁移,,yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;clip_vision_h.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;Wan2_2-Animate-14B_fp8_e4m3fn_scaled_KJ.safetensors;WanAnimate_relight_lora_fp16.safetensors
60,优先测试,ui,3,4,05.wan2.2首尾帧.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\05.wan2.2首尾帧.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、首尾帧、图生视频,ImageFromBatch+;LayerUtility: ImageScaleByAspectRatio V2;LayerUtility: PurgeVRAM,lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;wan2.2_i2v_high_noise_14B_Q4_K_S.gguf;wan2.2_i2v_low_noise_14B_Q4_K_S.gguf;umt5-xxl-encoder-Q4_K_S.gguf
60,优先测试,ui,3,7,08.WanAnimate 多人视频精准替换.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\08.WanAnimate 多人视频精准替换.json,image_input;pose_control;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、视频生视频,GetNode;MarkdownNote;SetNode,sam2_hiera_base_plus.safetensors;clip_vision_h.safetensors;WanAnimate_relight_lora_fp16.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;Wan2.2-Animate-14B-Q4_K_S.gguf
59,优先测试,ui,1,3,wanvideo_flowedit_I2V_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_flowedit_I2V_example_01.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、audio、lip、修复,WanVideoFlowEdit,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors
58,优先测试,ui,1,4,12..wan2.2图生视频.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\12..wan2.2图生视频.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、图生视频,easy cleanGpuUsed,lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;wan2.2_i2v_high_noise_14B_Q4_K_S.gguf;wan2.2_i2v_low_noise_14B_Q4_K_S.gguf;umt5-xxl-encoder-Q4_K_S.gguf
58,优先测试,ui,2,8,04.Wan2.2-Animate-角色替换.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\04.Wan2.2-Animate-角色替换.json,image_input;pose_control;prompt;video_input;video_nodes;video_output,video、wan、wan2、ltx、animate、audio、lip、pose、story、视频生视频、姿势、角色替换,Fast Groups Bypasser (rgthree);ShowAnything|Mie,sam2_hiera_base_plus.safetensors;yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;clip_vision_h.safetensors;WanAnimate_relight_lora_fp16.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank128_bf16.safetensors;Wan2_2-Animate-14B_fp8_e4m3fn_scaled_KJ.safetensors
58,优先测试,ui,4,1,Wan2.1 VACE视频镜头扩展.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\工作流\Wan2.1 VACE视频镜头扩展.json,prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、pose、镜头、修复,GetImageSize+;GetNode;SetNode;String Literal,Wan2_1-VACE_module_14B_fp8_e4m3fn.safetensors
57,优先测试,ui,1,1,04.MEGA Merge-WAN2.2-AllInOne-首尾帧-好用.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\04.MEGA Merge-WAN2.2-AllInOne-首尾帧-好用.json,image_input;prompt;video_nodes;video_output,video、wan、wan2、vace、animate、audio、lip、首尾帧、镜头、图生视频,Load Image Batch,wan2.2-rapid-mega-aio-v4.safetensors
57,优先测试,ui,4,1,wanvideo_Fun_control_camera_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_Fun_control_camera_example_01.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、修复,ADE_CameraPoseBasic;GetNode;MarkdownNote;SetNode,Wan2.1-Fun-V1.1-1.3B-Control-Camera.safetensors
56,优先测试,ui,0,1,wanvideo_vid2vid_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_vid2vid_example_01.json,prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、audio、修复,,wan2.1_t2v_1.3B_fp16.safetensors
56,优先测试,ui,5,3,wanvideo_1_3B_VACE_examples_03.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_1_3B_VACE_examples_03.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、pose、depth、修复,DepthAnything_V2;DownloadAndLoadDepthAnythingV2Model;GetNode;MarkdownNote;SetNode,depth_anything_v2_vitl_fp16.safetensors;wan2.1_t2v_1.3B_fp16.safetensors;Wan2_1-VACE_module_1_3B_bf16.safetensors
55,优先测试,ui,5,12,15.Wan+Animate2.2主体混合mix魔改加速版V2（不太好用）.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\15.Wan+Animate2.2主体混合mix魔改加速版V2（不太好用）.json,image_input;pose_control;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、ltx、vace、animate、talk、audio、lip、pose、视频生视频,CR Prompt Text;GetNode;JWInteger;MarkdownNote;SetNode,sam2_hiera_base_plus.safetensors;yolox_l.torchscript.pt;dw-ll_ucoco_384_bs5.torchscript.pt;Wan21_Uni3C_controlnet_fp16.safetensors;WanAnimate_relight_lora_fp16.safetensors;Wan2.2-Lightning_I2V-A14B-4steps-lora_LOW_fp16.safetensors;FastWan_T2V_14B_480p_lora_rank_128_bf16.safetensors;Wan21_PusaV1_LoRA_14B_rank512_bf16.safetensors;Wan2.2-Fun-A14B-InP-LOW-HPS2.1_resized_dynamic_avg_rank_15_bf16.safetensors;clip_vision_h.safetensors;Wan2_1_VAE_fp32.safetensors;Wan2.2-Animate-14B-Q4_K_S.gguf
54,优先测试,ui,0,2,wanvideo_480p_I2V_example_02.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_480p_I2V_example_02.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、audio、lip、修复,,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors
54,优先测试,ui,1,5,08.图生视频GGUFQ4A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\08.图生视频GGUFQ4A.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、audio、lip、镜头、图生视频、动作、表情,LoaderGGUF,wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_HIGH_fp16.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_LOW_fp16.safetensors;wan2.2_i2v_high_noise_14B_Q4_K_S.gguf;wan2.2_i2v_low_noise_14B_Q4_K_S.gguf
54,优先测试,ui,6,7,07.WanAnimate+姿势参考2.0.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\07.WanAnimate+姿势参考2.0.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、视频生视频、姿势,DrawViTPose;GetNode;LayerUtility: ImageScaleByAspectRatio V2;OnnxDetectionModelLoader;PoseAndFaceDetection;SetNode,clip_vision_h.safetensors;Wan2.2-Fun-A14B-InP-Fusion-Elite.safetensors;FullDynamic_Ultimate_Fusion_Elite.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors;vitpose-l-wholebody.onnx;yolov10m.onnx;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors
53,优先测试,ui,1,2,wanvideo_1_3B_control_lora_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_1_3B_control_lora_example_01.json,prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、audio、修复,MarkdownNote,wan2.1-1.3b-control-lora-tile-v0.1_comfy.safetensors;wan2.1_t2v_1.3B_fp16.safetensors
52,优先测试,ui,1,0,wan2.1test.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\wan2.1模型及工作流\wan2.1test.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、animate、audio、lip,ImageResize+,
52,优先测试,ui,1,3,Wan2.1 Fusion X 图生视频.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\nsfw邪修工作流（万相）\工作流\Wan2.1 Fusion X 图生视频.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、audio、lip、pose、镜头、图生视频、动作、修复、NSFW/需安全改写,ConstrainImage|pysssss,wan2.1_i2v_480p_14B_fp16.safetensors;wan2114BFusionx_fusionxImage2video.safetensors;clip_vision_h.safetensors
52,优先测试,ui,5,4,wanvideo_Fun_control_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_Fun_control_example_01.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、audio、lip、depth、修复,DepthAnything_V2;DownloadAndLoadDepthAnythingV2Model;GetNode;MarkdownNote;SetNode,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;depth_anything_v2_vitl_fp16.safetensors;wan2.1_fun_control_1.3B_bf16.safetensors
51,优先测试,ui,0,0,want2vtest.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\wan2.1模型及工作流\want2vtest.json,prompt;video_nodes;video_output;wan_video,video、wan、wan2、animate、audio、镜头,,
51,优先测试,ui,0,1,wanvideo_T2V_example_02.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_T2V_example_02.json,prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、audio、lip、修复,,umt5_xxl_fp16.safetensors
51,优先测试,ui,2,6,10.最强一致性图生视频-wanvideo_T2V_14B_lynx.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\10.最强一致性图生视频-wanvideo_T2V_14B_lynx.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、pose、图生视频,GetNode;SetNode,Wan2_1-T2V-14B_fp8_e4m3fn_scaled_KJ.safetensors;umt5_xxl_fp16.safetensors;lynx_lite_resampler_fp32.safetensors;Wan2_1-T2V-14B-Lynx_lite_ip_layers_fp16.safetensors;Wan2_1-T2V-14B-Lynx_full_ref_layers_fp16.safetensors;lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank64_bf16.safetensors
51,优先测试,ui,5,2,wanvideo_1_3B_ReCamMaster_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_1_3B_ReCamMaster_example_01.json,prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、audio、lip、pose、修复,DownloadAndLoadFlorence2Model;Florence2Run;GetNode;SetNode;ShowText|pysssss,umt5_xxl_fp16.safetensors;Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors
50,优先测试,ui,1,5,09.图生视频GGUFQ8A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\09.图生视频GGUFQ8A.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、audio、lip、图生视频、动作、表情,LoaderGGUF,Wan2.2-Lightning_T2V-A14B-4steps-lora_HIGH_fp16.safetensors;wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_LOW_fp16.safetensors;wan2.2_i2v_low_noise_14B_Q8_0.gguf;wan2.2_i2v_high_noise_14B_Q8_0.gguf
49,优先测试,ui,4,2,wanvideo_skyreels_diffusion_forcing_extension_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_skyreels_diffusion_forcing_extension_example_01.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、audio、lip、pose、修复,GetNode;MarkdownNote;SetNode;SimpleMath+,umt5_xxl_fp16.safetensors;Wan2_1-SkyReels-V2-DF-1_3B-540P_fp32.safetensors
48,优先测试,ui,0,1,wanvideo_long_T2V_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_long_T2V_example_01.json,prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、audio、修复,,wan2.1_t2v_1.3B_fp16.safetensors
48,优先测试,ui,1,0,通义万相图片转视频.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\flux+万相通义\通义万相图片转视频.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、audio、lip,ImageResize+,
48,优先测试,ui,4,7,16.最强-超强动态，高质量，高遵循度.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\16.最强-超强动态，高质量，高遵循度.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、talk、audio、lip、pose、镜头、图生视频、动作,Fast Groups Bypasser (rgthree);Int;LayerUtility: ImageScaleByAspectRatio V2;easy cleanGpuUsed,wan2.2_i2v_A14b_high_noise_scaled_fp8_e4m3_lightx2v_4step_comfyui.safetensors;wan2.2_i2v_A14b_low_noise_scaled_fp8_e4m3_lightx2v_4step_comfyui.safetensors;umt5_xxl_fp16.safetensors;Wan2.2-Fun-A14B-InP-high-noise-MPS.safetensors;Wan2.2-Fun-A14B-InP-low-noise-HPS2.1.safetensors;lightx2v_I2V_14B_480p_cfg_step_distill_rank256_bf16.safetensors;rife47.pth
47,优先测试,ui,0,2,Wan2.1+图生视频+Lora+工作流 .json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\Wan2(1).1视频生成工作+flux节点\Wan2.1+图生视频+Lora+工作流 .json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、audio、lip、图生视频,,clip_vision_h.safetensors;Wan2.1 I2V LoRA-360 度旋转.safetensors
47,优先测试,ui,0,2,Wan2.1+图生视频+Lora+工作流 .json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\Wan2.1视频生成工作+flux节点\Wan2.1+图生视频+Lora+工作流 .json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、audio、lip、图生视频,,clip_vision_h.safetensors;Wan2.1 I2V LoRA-360 度旋转.safetensors
47,优先测试,ui,2,4,17.Wan2.2+SmoothMix首尾帧视频高动态.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\17.Wan2.2+SmoothMix首尾帧视频高动态.json,image_input;prompt;video_nodes;video_output,video、wan、wan2、animate、audio、lip、首尾帧、镜头、图生视频,CR Text;SimpleMath+,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;smoothMixWan22I2VT2V_i2vHigh.safetensors;smoothMixWan22I2VT2V_i2vLow.safetensors
47,优先测试,ui,3,3,wanvideo_480p_I2V_endframe_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_480p_I2V_endframe_example_01.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、audio、lip、修复,GetNode;ImageResize+;SetNode,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;open-clip-xlm-roberta-large-vit-huge-14_visual_fp16.safetensors
